,id1,id2,analysis1,analysis2,similarity
124,558.0,568.0,Canudas_2000_sections_neurons_quantitation,Covey_2007_sections_neurons_quantitation,0.75
125,346.0,359.0,Johnson_2010_rats_sections_TH_neurons_quantitation,Johnson_2010b_rat_sections_Thneg_neurons_quantitation,0.75
126,350.0,359.0,Johnson_2010_rats_sections_Thneg_neurons_quantitation,Johnson_2010b_rat_sections_Thneg_neurons_quantitation,0.75
127,357.0,346.0,Johnson_2010b_rat_sections_neurons_quantitation,Johnson_2010_rats_sections_TH_neurons_quantitation,0.75
128,358.0,346.0,Johnson_2010b_rat_sections_TH_neurons_quantitation,Johnson_2010_rats_sections_TH_neurons_quantitation,0.75
129,568.0,548.0,Covey_2007_sections_neurons_quantitation,Andreassen_2000_sections_nadph_neurons_quantitation,0.75
130,568.0,558.0,Covey_2007_sections_neurons_quantitation,Canudas_2000_sections_neurons_quantitation,0.75
131,548.0,568.0,Andreassen_2000_sections_nadph_neurons_quantitation,Covey_2007_sections_neurons_quantitation,0.75
132,547.0,558.0,Andreassen_2000_sections_ppSS_neurons_quantitation,Canudas_2000_sections_neurons_quantitation,0.8
133,558.0,547.0,Canudas_2000_sections_neurons_quantitation,Andreassen_2000_sections_ppSS_neurons_quantitation,0.8
134,199.0,658.0,Oestergaard_1995_sections_ISH_NPY_neurons_quantitation,Murata_2003_P10_sections_NADPH_neurons_quantitation,0.8
135,199.0,663.0,Oestergaard_1995_sections_ISH_NPY_neurons_quantitation,Murata_2003_P35_sections_NADPH_neurons_quantitation,0.8
136,199.0,664.0,Oestergaard_1995_sections_ISH_NPY_neurons_quantitation,Murata_2003_P5_sections_NADPH_neurons_quantitation,0.8
137,200.0,658.0,Oestergaard_1995_sections_ISH_SS_neurons_quantitation,Murata_2003_P10_sections_NADPH_neurons_quantitation,0.8
138,200.0,663.0,Oestergaard_1995_sections_ISH_SS_neurons_quantitation,Murata_2003_P35_sections_NADPH_neurons_quantitation,0.8
139,200.0,664.0,Oestergaard_1995_sections_ISH_SS_neurons_quantitation,Murata_2003_P5_sections_NADPH_neurons_quantitation,0.8
140,198.0,658.0,Oestergaard_1995_sections_ISH_ENK_neurons_quantitation,Murata_2003_P10_sections_NADPH_neurons_quantitation,0.8
141,198.0,663.0,Oestergaard_1995_sections_ISH_ENK_neurons_quantitation,Murata_2003_P35_sections_NADPH_neurons_quantitation,0.8
142,198.0,664.0,Oestergaard_1995_sections_ISH_ENK_neurons_quantitation,Murata_2003_P5_sections_NADPH_neurons_quantitation,0.8
143,231.0,204.0,Svingos_1999_ultrathin_KOR_terminals_quantitation,Pickel_1998_sections_NPY_axonterminals_quantitation,0.8333333333333334
144,232.0,204.0,Svingos_1999_ultrathin_KOR_spines_quantitation,Pickel_1998_sections_NPY_axonterminals_quantitation,0.8333333333333334
145,204.0,232.0,Pickel_1998_sections_NPY_axonterminals_quantitation,Svingos_1999_ultrathin_KOR_spines_quantitation,0.8333333333333334
146,204.0,231.0,Pickel_1998_sections_NPY_axonterminals_quantitation,Svingos_1999_ultrathin_KOR_terminals_quantitation,0.8333333333333334
147,664.0,197.0,Murata_2003_P5_sections_NADPH_neurons_quantitation,Oestergaard_1995_sections_NADPH_neurons_quantitation,1.0
148,426.0,427.0,Bostanci_2008_sections_neurons_quantitation,Bostanci_2013_sections_neurons_quantitation,1.0
149,426.0,428.0,Bostanci_2008_sections_neurons_quantitation,Bostanci_2010_sections_neurons_quantitation,1.0
150,658.0,197.0,Murata_2003_P10_sections_NADPH_neurons_quantitation,Oestergaard_1995_sections_NADPH_neurons_quantitation,1.0
151,663.0,197.0,Murata_2003_P35_sections_NADPH_neurons_quantitation,Oestergaard_1995_sections_NADPH_neurons_quantitation,1.0
152,558.0,548.0,Canudas_2000_sections_neurons_quantitation,Andreassen_2000_sections_nadph_neurons_quantitation,1.0
153,197.0,658.0,Oestergaard_1995_sections_NADPH_neurons_quantitation,Murata_2003_P10_sections_NADPH_neurons_quantitation,1.0
154,197.0,663.0,Oestergaard_1995_sections_NADPH_neurons_quantitation,Murata_2003_P35_sections_NADPH_neurons_quantitation,1.0
155,197.0,664.0,Oestergaard_1995_sections_NADPH_neurons_quantitation,Murata_2003_P5_sections_NADPH_neurons_quantitation,1.0
156,428.0,427.0,Bostanci_2010_sections_neurons_quantitation,Bostanci_2013_sections_neurons_quantitation,1.0
157,428.0,426.0,Bostanci_2010_sections_neurons_quantitation,Bostanci_2008_sections_neurons_quantitation,1.0
158,427.0,428.0,Bostanci_2013_sections_neurons_quantitation,Bostanci_2010_sections_neurons_quantitation,1.0
159,427.0,426.0,Bostanci_2013_sections_neurons_quantitation,Bostanci_2008_sections_neurons_quantitation,1.0
160,548.0,558.0,Andreassen_2000_sections_nadph_neurons_quantitation,Canudas_2000_sections_neurons_quantitation,1.0
