,id1,id2,analysis1,analysis2,similarity
99,122.0,401.0,Hain_2016_sections_cells_quantitation,Stayte_2015_shamveh_sections_Neun_neurons_quantitation,0.6666666666666666
100,122.0,619.0,Hain_2016_sections_cells_quantitation,Ibanez-Sandoval_2010_sections_th_neurons_quantitation,0.6666666666666666
101,712.0,321.0,Suarez_2013_wt_slices_spines_quantitation,NMO_Martone_2008_MSN_neurons_morphology_63x,0.6666666666666666
102,540.0,619.0,Abdurakhmanova_2017_sections_NOS_neurons_quantitation,Ibanez-Sandoval_2010_sections_th_neurons_quantitation,0.6666666666666666
103,619.0,398.0,Ibanez-Sandoval_2010_sections_th_neurons_quantitation,Stayte_2015_sham_sections_neun_neurons_quantitation,0.6666666666666666
104,619.0,695.0,Ibanez-Sandoval_2010_sections_th_neurons_quantitation,Samadi_2013_13w_sections_neurons_quantitation,0.6666666666666666
105,368.0,520.0,Ma_2009_mountedsections_nissl_neurons_quantitation,Breckenridge_2013_study4_sections_CV_neurons_quantitation,0.6666666666666666
106,321.0,712.0,NMO_Martone_2008_MSN_neurons_morphology_63x,Suarez_2013_wt_slices_spines_quantitation,0.6666666666666666
107,321.0,711.0,NMO_Martone_2008_MSN_neurons_morphology_63x,Suarez_2013_D2R_slices_spines_quantitation,0.6666666666666666
108,710.0,320.0,Suarez_2013_D1R_slices_spines_quantitation,NMO_Martone_2008_MSN_neurons_morphology_25x,0.6666666666666666
109,395.0,521.0,Smeyne_2016_sections_designbased_TH_neurons_quantitation,Breckenridge_2013_study5_sections_DAB_all_neurons,0.6666666666666666
110,395.0,517.0,Smeyne_2016_sections_designbased_TH_neurons_quantitation,Breckenridge_2013_study4_sections_TH_neurons_quantitation,0.6666666666666666
111,395.0,518.0,Smeyne_2016_sections_designbased_TH_neurons_quantitation,Breckenridge_2013_study4_sections_THneg_neurons_quantitation,0.6666666666666666
112,644.0,643.0,Lawhorn_2008_sections_neurons_quantitation,Lawhorn_2009_sections_neurons_quantitation,0.7
113,643.0,644.0,Lawhorn_2009_sections_neurons_quantitation,Lawhorn_2008_sections_neurons_quantitation,0.7
114,497.0,396.0,Eilam_2003_2m_TH_sections_TH_neurons_quantitation,Smeyne_2016_sections_modelbased_TH_neurons_quantitation,0.7142857142857143
115,618.0,619.0,Hawlitschka_2017_sections_chat_cells_quantitation,Ibanez-Sandoval_2010_sections_th_neurons_quantitation,0.7142857142857143
116,418.0,328.0,Aguirre_1999_sections_nonneuron_quantitation,Aguirre_2001_sections_neuronal_cells_quantitation,0.7142857142857143
117,329.0,417.0,Aguirre_2001_sections_nonneuronal_cells_quantitation,Aguirre_1999_sections_Thneg_neurons_quantitation,0.7142857142857143
118,329.0,418.0,Aguirre_2001_sections_nonneuronal_cells_quantitation,Aguirre_1999_sections_nonneuron_quantitation,0.7142857142857143
119,483.0,489.0,Saal_2015_sections_nissl_neurons_quantitation,Tatenhorst_2014_sections_neurons_quantitation,0.7142857142857143
120,483.0,532.0,Saal_2015_sections_nissl_neurons_quantitation,Tatenhorst_2014_140_sections_neurons_quantitation,0.7142857142857143
121,122.0,394.0,Hain_2016_sections_cells_quantitation,Simkins_2012_sections_TH_neurons_quantitation,0.7142857142857143
122,417.0,328.0,Aguirre_1999_sections_Thneg_neurons_quantitation,Aguirre_2001_sections_neuronal_cells_quantitation,0.7142857142857143
123,619.0,618.0,Ibanez-Sandoval_2010_sections_th_neurons_quantitation,Hawlitschka_2017_sections_chat_cells_quantitation,0.7142857142857143
124,496.0,396.0,Eilam_2003_1m_TH_sections_TH_neurons_quantitation,Smeyne_2016_sections_modelbased_TH_neurons_quantitation,0.7142857142857143
125,328.0,417.0,Aguirre_2001_sections_neuronal_cells_quantitation,Aguirre_1999_sections_Thneg_neurons_quantitation,0.7142857142857143
126,328.0,418.0,Aguirre_2001_sections_neuronal_cells_quantitation,Aguirre_1999_sections_nonneuron_quantitation,0.7142857142857143
127,273.0,285.0,Baquet_2009_sections_3d_TH_neurons_quantitation,Hamre_1999_DBA/2J_sections_TH_neurons_quantitation,0.7142857142857143
128,273.0,280.0,Baquet_2009_sections_3d_TH_neurons_quantitation,Hamre_1999_Bl6/Swr_sections_TH_neurons_quantitation,0.7142857142857143
129,273.0,286.0,Baquet_2009_sections_3d_TH_neurons_quantitation,Hamre_1999_Swiss_sections_TH_neuron_quantitation,0.7142857142857143
130,396.0,496.0,Smeyne_2016_sections_modelbased_TH_neurons_quantitation,Eilam_2003_1m_TH_sections_TH_neurons_quantitation,0.7142857142857143
131,396.0,495.0,Smeyne_2016_sections_modelbased_TH_neurons_quantitation,Eilam_2003_TH_sections_TH_neurons_quantitation,0.7142857142857143
132,396.0,497.0,Smeyne_2016_sections_modelbased_TH_neurons_quantitation,Eilam_2003_2m_TH_sections_TH_neurons_quantitation,0.7142857142857143
133,416.0,329.0,Aguirre_1999_sections_TH_neurons_quantitation,Aguirre_2001_sections_nonneuronal_cells_quantitation,0.7142857142857143
134,482.0,489.0,Saal_2015_sections_TH_neurons_quantitation,Tatenhorst_2014_sections_neurons_quantitation,0.7142857142857143
135,482.0,488.0,Saal_2015_sections_TH_neurons_quantitation,Tatenhorst_2014_sections_TH_neurons_quantitation,0.7142857142857143
136,495.0,396.0,Eilam_2003_TH_sections_TH_neurons_quantitation,Smeyne_2016_sections_modelbased_TH_neurons_quantitation,0.7142857142857143
137,394.0,122.0,Simkins_2012_sections_TH_neurons_quantitation,Hain_2016_sections_cells_quantitation,0.7142857142857143
138,656.0,694.0,Smith_2008_sections_PV_neurons_quantitation,Samadi_2013_11w_sections_neurons_quantitation,0.7142857142857143
139,656.0,696.0,Smith_2008_sections_PV_neurons_quantitation,Samadi_2013_13w_sections_glia_quantitation,0.7142857142857143
140,656.0,695.0,Smith_2008_sections_PV_neurons_quantitation,Samadi_2013_13w_sections_neurons_quantitation,0.7142857142857143
141,356.0,348.0,Johnson_2010b_mouse_sections_neurons_quantitation,Johnson_2010_Wtmice_sections_THneg_neurons_quantitation,0.75
142,409.0,360.0,Vidyadhara_2017_c57bl/6_sections_th_neurons_quantitation,Kang_2010_sections_TH_neurons_quantitation,0.75
143,616.0,737.0,Guidetti_2001_sections_spines_primary_quantitation,Zhang_2016_semithin_neurons_quantitation,0.75
144,616.0,90.0,Guidetti_2001_sections_spines_primary_quantitation,Eilam_2003_sections_NeuN_mediumcells_quantitation,0.75
145,737.0,617.0,Zhang_2016_semithin_neurons_quantitation,Guidetti_2001_sections_spines_secondary_quantitation,0.75
