,analysis1,id1,analysis2,id2,similarity
120,Roberts_1995_ultrathin_sym_synapses_quantitation,214,Roberts_1995_ultrathin_synapses_quantitation,212,1.0
121,Lenz_1994_sections_PV_GAD67_neurons_quantitation,148,Lenz_1994_sections_GAD67_neurons_quantitation,147,1.0
122,Bowenkamp_2000_old_sections_TH_neurons_quantitation,430,Bowenkamp_2000_adult_sections_TH_neurons_quantitation,429,1.0
123,Koshimizu_2013_sections_cSTN_boutons_quantitation,466,Koshimizu_2013_sections_lSTN_boutons_quantitation,467,1.0
124,Koshimizu_2013_sections_cSTN_boutons_quantitation,466,Koshimizu_2013_sections_mSTN_boutons_quantitation,468,1.0
125,Nair-Roberts_2008_sections_GAD_TH_GAD_neuron_quantitation,187,Nair-Roberts_2008_sections_GAD_TH_TH_neurons_quantitation,186,1.0
126,Koshimizu_2013_sections_mSTN_boutons_quantitation,468,Koshimizu_2013_sections_lSTN_boutons_quantitation,467,1.0
127,Koshimizu_2013_sections_mSTN_boutons_quantitation,468,Koshimizu_2013_sections_cSTN_boutons_quantitation,466,1.0
128,Koshimizu_2013_sections_lSTN_boutons_quantitation,467,Koshimizu_2013_sections_mSTN_boutons_quantitation,468,1.0
129,Koshimizu_2013_sections_lSTN_boutons_quantitation,467,Koshimizu_2013_sections_cSTN_boutons_quantitation,466,1.0
130,Koshimizu_2013_sections_boutons_quantitation,464,Koshimizu_2013_sections_mSTN_boutons_quantitation,468,1.0
131,Koshimizu_2013_sections_boutons_quantitation,464,Koshimizu_2013_sections_cSTN_boutons_quantitation,466,1.0
132,Koshimizu_2013_sections_rSTN_boutons_quantitation,465,Koshimizu_2013_sections_mSTN_boutons_quantitation,468,1.0
133,Koshimizu_2013_sections_rSTN_boutons_quantitation,465,Koshimizu_2013_sections_cSTN_boutons_quantitation,466,1.0
134,Bowenkamp_2000_adult_sections_TH_neurons_quantitation,429,Bowenkamp_2000_old_sections_TH_neurons_quantitation,430,1.0
135,Nair-Roberts_2008_sections_GAD_TH_TH_neurons_quantitation,186,Nair-Roberts_2008_sections_GAD_TH_GAD_neuron_quantitation,187,1.0
136,Gritti_2006_sections_cells_quantitation,115,Gritti_2006_sections_PAG_neurons_quantitation,114,1.0
137,Gritti_2006_sections_PAG_neurons_quantitation,114,Gritti_2006_sections_cells_quantitation,115,1.0
138,Ishida_2001_sections_cfos_neurons_quantitation,461,Ishida_2001_sections_TH_neurons_quantitation,460,1.0
139,Ishida_2001_sections_TH_neurons_quantitation,460,Ishida_2001_sections_cfos_neurons_quantitation,461,1.0
140,Lohr_2000_sections_cholinergic_neurons_quantitation,650,Guan_1999_sections_ChAT_neurons_quantitation,117,0.75
141,Guan_1999_sections_ChAT_neurons_quantitation,117,Lohr_2000_sections_cholinergic_neurons_quantitation,650,0.75
142,Gomide_2005b_sections_GFAP_cells_quantitation,451,Rodrigues_2001_sections_GFAP_cells_quantitation,479,0.75
143,Rodrigues_2001_sections_GFAP_cells_quantitation,479,Gomide_2005b_sections_GFAP_cells_quantitation,451,0.75
144,Gomide_2005b_sections_OX-42_cells_quantitation,452,Rodrigues_2001_sections_OX42_cells_quantitation,480,0.75
145,Omelchenko_2016_sections_TH_neurons_quantitation,471,Panneton_2010_sections_TH_neurons_quantitation,378,0.75
146,Rodrigues_2001_sections_OX42_cells_quantitation,480,Gomide_2005b_sections_OX-42_cells_quantitation,452,0.75
147,Panneton_2010_sections_TH_neurons_quantitation,378,Omelchenko_2016_sections_TH_neurons_quantitation,471,0.75
148,Hardman_2002_sections_PV_neurons_quantitation,124,Hardman_2002_sections_nissl_neurons_quantitation,123,0.6666666666666666
149,Hardman_2002_sections_nissl_neurons_quantitation,123,Hardman_2002_sections_PV_neurons_quantitation,124,0.6666666666666666
150,Panneton_2010_sections_TH_neurons_quantitation,378,Panneton_2010_sections_nissl_neurons_quantitation,379,0.6666666666666666
151,Panneton_2010_sections_nissl_neurons_quantitation,379,Panneton_2010_sections_TH_neurons_quantitation,378,0.6666666666666666
