"ID";"Microscopy_details_name";"Microscope";"Mounting_medium";"Refraction_medium";"Numerical_aperture";"Objective_lens";"Total_magnification";"Pixel size";"Z_stack";"Optical_slice_size"
167;"Depboylu_2013_LFMdetails";2;52;"Unspecified";;"Unspecified";"Unspecified";;0;"N/A"
168;"Fujiyama_2016_LFMdetails";2;235;"Unspecified";;"20X";"Unspecified";;0;"N/A"
169;"Fukuda_1994_LFMdetails";2;52;"Unspecified";;"Unspecified";"Unspecified";;0;"N/A"
170;"Gomide_2005b_LFMdetails";2;52;"Oil";"1,4";"100X";"Unspecified";;0;"N/A"
171;"Guyenet_1981_LFMdetails";13;239;"Unspecified";;"Unspecified";"Unspecified";;0;"N/A"
172;"Hage_2016_juxta_LFMdetails";3;141;"Unspecified";;"Unspecified";"Unspecified";"0,15";1;"1"
173;"Hage_2016_live_LFMdetails";14;52;"Unspecified";"0,8";"40X";"Unspecified";;0;
174;"Ishida_2001_LFMdetails";2;52;"Unspecified";;"20X";"Unspecified";;0;"N/A"
175;"Joghataie_2004_LFMdetails";2;52;"Unspecified";;"Unspecified";"400X";;0;"N/A"
176;"Korkmaz_2012_LFMdetails";2;51;"Unspecified";;"40X";"Unspecified";;0;"N/A"
177;"Koshimizu_2013_LFMdetails";2;235;"Unspecified";;"Unspecified";"Unspecified";;0;"N/A"
178;"Lawson_1990_LFMdetails";2;52;"Unspecified";;"Unspecified";"400X";;0;"N/A"
179;"Lorenc-Koci_2011_LFMdetails";2;52;"Unspecified";;"63X";"Unspecified";;0;"N/A"
180;"Omelchenko_2016_LFMdetails";2;69;"Unspecified";;"60X";"Unspecified";;0;"N/A"
181;"Park_2006_Dil_LFMdetails";1;251;"Unspecified";;"Unspecified";"Unspecified";;0;"N/A"
182;"Park_2006_TH_nissl_LFMdetails";1;51;"Unspecified";;"Unspecified";"250X";;0;"N/A"
183;"Purisai_2007_LFMdetails";2;52;"Unspecified";;"Unspecified";"Unspecified";;0;"N/A"
184;"Ratzka_2012_LFMdetails";2;52;"Unspecified";"1,25";"100X";"Unspecified";;0;"N/A"
185;"Rodrigues_2001_LFMdetails";2;52;"Oil";"1,4";"100X";"Unspecified";;0;"N/A"
186;"Saal_2015_LFMdetails";2;69;"Unspecified";;"40X";"Unspecified";;0;"N/A"
187;"Shaw_2010_LFMdetails";2;69;"Unspecified";;"Unspecified";"Unspecified";;0;"N/A"
188;"Stanic_2004_LFMdetails";2;52;"Unspecified";;"Unspecified";"Unspecified";;0;"N/A"
189;"Sunström_1987_LFMdetails";1;254;"Unspecified";;"Unspecified";"Unspecified";;0;"N/A"
190;"Tasselli_2013_LFMdetails";2;52;"Unspecified";;"Unspecified";"Unspecified";;0;"N/A"
191;"Tatenhorst_2014_LFMdetails";2;69;"Unspecified";;"40X";"Unspecified";;0;"N/A"
192;"Walker_2012b_LFMdetails";2;52;"Oil";"1,3";"100X";"Unspecified";;0;"N/A"
193;"Walters_1999_LFMdetails";2;116;"Oil";"1,4";"100X";"3600X";;1;"0,5"
194;"Westphal_2016_sections_th_neurons_quantitation_LFMdetails";2;88;"Unspecified";;"40X";"Unspecified";;0;"N/A"
195;"Wild_2013_LFMdetails";3;163;"Unspecified";;"Unspecified";"630X";;0;"N/A"
196;"Kusnoor_2010_golgi_LFMdetails";2;52;"Unspecified";;"Unspecified";"Unspecified";;0;"N/A"
197;"Lawrence_2012_golgi_LFMdetails";2;51;"Unspecified";;"100X";"Unspecified";;0;"N/A"
198;"Abdurakhmanova_2017_LFMdetails";2;52;"Unspecified";;"Unspecified";"Unspecified";;0;"N/A"
199;"Alexi_1997_LFMdetails";2;52;"Unspecified";;"Unspecified";"200X";;0;"N/A"
200;"Andreassen_2000_LFMdetails";2;52;"Unspecified";;"Unspecified";"Unspecified";;0;"N/A"
201;"Andreassen_1999_LFMdetails";2;174;"Unspecified";;"Unspecified";"Unspecified";;0;"N/A"
202;"Antzoulatos_2011_LFMdetails";2;262;"Oil";;"100X";"Unspecified";;0;"N/A"
203;"Ashwell_1996_LFMdetails";2;52;"Oil";;"Unspecified";"1250X";;0;"N/A"
204;"Benes_1985_LFMdetails";2;52;"Unspecified";;"Unspecified";"Unspecified";;0;"N/A"
205;"Busceti_2008_LFMdetails";2;52;"Oil";;"100X";"Unspecified";;0;"N/A"
206;"Canudas_2000_LFMdetails";2;52;"Unspecified";;"100X";"Unspecified";;0;"N/A"
207;"Cao_2013_LFMdetails";2;51;"Unspecified";;"Unspecified";"Unspecified";;0;"N/A"
208;"Chakraborty_2014_LFMdetails";2;52;"Unspecified";;"Unspecified";"Unspecified";;0;"N/A"
209;"Covey_2007_LFMdetails";2;52;"Oil";"1,4";"100X";"3400X";;0;"N/A"
210;"Cullity_2018_LFMdetails";2;268;"Unspecified";"1,35";"60X";"Unspecified";;0;"N/A"
211;"Filice_2016_LFMdetails";1;269;"Oil";;"Unspecified";"Unspecified";;0;"N/A"
212;"Cuzon Carlson_2012_LFMdetails";3;270;"Water";"1,2";"63X";"Unspecified";"0,14";1;"0,45"
213;"Day-Wilson_2006_LFMdetails";2;107;"Unspecified";;"100X";"Unspecified";;0;"N/A"
214;"Dodds_2014_quantitation";2;52;"Unspecified";;"Unspecified";"Unspecified";;0;"N/A"
215;"Dos Santos_2018_LFMdetails";3;163;"Oil";"1,4";"Unspecified";"Unspecified";"0,06";1;"0,2"
216;"Echeverry_2004_LFMdetails";2;52;"Unspecified";;"Unspecified";"Unspecified";;0;"N/A"
217;"Fischer_1992_LFMdetails";2;52;"Unspecified";;"10X";"Unspecified";;0;"N/A"
218;"Fukui_1989_LFMdetails";2;52;"Unspecified";;"20X";"Unspecified";;0;"N/A"
219;"Gomes_2015_LFMdetails";2;88;"Unspecified";;"20X";"Unspecified";;0;"N/A"
220;"Gomes_2008_LFMdetails";2;52;"Unspecified";"1,4";"60X";"Unspecified";;0;"N/A"
221;"Gomes_2003_LFMdetails";2;52;"Unspecified";;"Unspecified";"Unspecified";;0;"N/A"
222;"Goodliffe_2018_LFMdetails";3;163;"Oil";"1,4";"63X";;"0,034";1;"0,17"
223;"Grosse_2005_LFMdetails";2;52;"Unspecified";;"Unspecified";"Unspecified";;0;"N/A"
224;"Guidetti_2001_LFMdetails";2;52;"Unspecified";;"Unspecified";"400X";;0;"N/A"
225;"Hawlitschka_2017_LFMdetails";2;52;"Unspecified";;"Unspecified";"Unspecified";;0;"N/A"
226;"Ibanez-Sandoval_2010_LFMdetails";1;141;"Unspecified";;"20X";"Unspecified";;0;"N/A"
227;"Ijomone_2013_LFMdetails";2;52;"Unspecified";;"Unspecified";"Unspecified";;0;"N/A"
228;"Ishimaru_1991_LFMdetails";2;52;"Unspecified";;"Unspecified";"Unspecified";;0;"N/A"
229;"Johnston_1987_LFMdetails";2;52;"Unspecified";;"Unspecified";"Unspecified";;0;"N/A"
230;"Juckel_2011_LFMdetails";2;52;"Unspecified";;"100X";"Unspecified";;0;"N/A"
231;"Kopp_1992_LFMdetails";2;52;"Unspecified";;"Unspecified";"313X";;0;"N/A"
232;"Laprade_1997_LFMdetails";2;295;"Unspecified";;"25X";"Unspecified";;0;"N/A"
233;"Larsson_2001_LFMdetails1";2;52;"Oil";;"40X";"Unspecified";;0;"N/A"
234;"Larsson_2001_LFMdetails2";2;52;"Oil";;"100X";"Unspecified";;0;"N/A"
236;"Lauber_2018_sections_LFMdetails";1;269;"Oil";"1,3";"63X";"Unspecified";;0;"N/A"
237;"Lauber_2016_LFMdetails";1;269;"Unspecified";;"Unspecified";"Unspecified";;0;"N/A"
