"ID";"Specimen";"Reporter";"Order";"Concentration";"Time";"Temperature"
406;563;109;"Primary";"1:1000";"12";
407;563;167;"Secondary";"1:200";"1";
408;568;51;"Primary";"1:800";;
409;569;51;"Primary";"1:800";;
410;570;51;"Primary";"1:800";;
412;568;133;"Secondary";"1:200";;
413;569;133;"Secondary";"1:200";;
414;570;133;"Secondary";"1:200";;
416;573;47;"Primary";"1:5000";"48";
417;573;67;"Secondary";;"1";
418;576;47;"Primary";"1:5000";"12";
419;576;67;"Secondary";;"1";
420;578;129;"Primary";"1:500";;
421;580;79;"Primary";"1:1500";"12";4
423;582;51;"Primary";"1:100";"3,5";4
424;583;73;"Primary";"1:9000";"3,5";4
425;584;192;"Primary";"1:9000";"3,5";4
426;584;133;"Secondary";"4µl/ml";"2";21
427;585;133;"Secondary";"4µl/ml";"2";21
428;583;112;"Secondary";"4µl/ml";"2";21
429;591;79;"Primary";;"48";4
432;591;67;"Secondary";"1:250";;
433;596;193;"Primary";"1:2000";;
434;596;194;"Secondary";"1:200";;
435;605;37;"Primary";"1:1000";;
436;606;37;"Primary";"1:1000";;
437;605;167;"Secondary";;;
438;606;167;"Secondary";;;
439;611;184;"Primary";"1:1000";"24";4
440;611;167;"Secondary";"1:100";"24";4
441;612;51;"Primary";"1:1000";"48";4
442;612;195;"Secondary";"1:500";"24";4
445;637;196;"Primary";"1:1000";;
446;637;197;"Secondary";"1:1000";;
447;642;198;"Primary";"1:1000";"24";4
448;641;51;"Primary";"1:800";"24";4
449;652;199;"Primary";"1:2000";"12";4
450;652;200;"Secondary";"1:200";"1";21
451;653;51;"Primary";"1:400";"48";4
452;653;133;"Secondary";"1:200";"1";21
453;656;128;"Primary";"1:1000";"14";4
454;656;201;"Primary";"1:500";"14";4
455;656;170;"Secondary";"1:200";;
456;656;202;"Secondary";"1:200";;
457;658;204;"Primary";"1:1000";"12";21
458;658;203;"Primary";"0,2 µg/ml";"12";21
459;658;170;"Secondary";"10 µg/ml";"2";21
460;658;187;"Secondary";"10 µg/ml";"2";21
461;661;184;"Primary";;;
462;666;198;"Primary";"1:1000";"48";4
463;665;205;"Primary";"1:600";"48";4
464;664;79;"Primary";"1:1500";"48";4
465;677;206;"Primary";"1:5000";"12";4
466;677;79;"Primary";"1:20000";"12";4
467;677;167;"Secondary";;"0,7";21
468;684;71;"Primary";"1:1000";"12";4
469;684;167;"Secondary";"1:200";"1";21
470;689;203;"Primary";"0,2 µg/ml";"12";
471;689;204;"Primary";"1:1000";"12";
472;689;50;"Secondary";"10 µg/ml";"2";
473;689;207;"Secondary";"1:400";"2";
474;692;208;"Primary";"1:1000";"1";
475;692;167;"Secondary";"1:200";"0,7";
476;695;79;"Primary";"1:3000";"48";4
478;698;47;"Primary";"1:8000";"30";
479;698;187;"Secondary";"1:400";"0,5";
480;703;79;"Primary";"1:40000";"2";21
481;703;79;"Primary";"1:40000";"16";4
482;703;171;"Secondary";"1:200";"1,5";
483;707;71;"Primary";"1:600";;
484;707;167;"Secondary";;;
485;710;109;"Primary";"1:500";;
486;711;109;"Primary";"1:500";;
487;713;79;"Primary";"1:1000";"48";4
488;715;205;"Primary";"1:1000";"48";4
489;714;198;"Primary";"1:1500";"48";4
490;714;167;"Secondary";"1:200";"2";21
491;715;67;"Secondary";"1:200";"2";21
492;713;67;"Secondary";"1:200";"2";21
493;717;184;"Primary";"1:1000";"48";4
494;717;179;"Secondary";"1:200";"2";21
495;720;193;"Primary";"1:500";"36";4
496;720;112;"Secondary";"1:200";"1";21
497;726;37;"Primary";"1:80";"12";4
498;726;209;"Secondary";;"1";21
499;730;184;"Primary";"1:1000";"48";4
500;730;179;"Secondary";"1:200";"1";21
501;733;47;"Primary";"1:10000";"12";4
502;733;67;"Secondary";"1:1000";"1";21
503;735;51;"Primary";;"40";4
505;738;210;"Primary";"1:3000";"12";4
506;738;167;"Secondary";"1:1000";"2";21
507;742;47;"Primary";"1:250";"24";
508;742;211;"Secondary";"1:200";"1";
509;749;79;"Primary";"1:2000";;
510;750;79;"Primary";"1:2000";;
511;751;79;"Primary";"1:2000";;
512;761;82;"Primary";;"12";4
513;762;82;"Primary";;"12";4
514;762;84;"Secondary";;;
515;761;84;"Secondary";;;
518;771;129;"Primary";"1:1000";"12";4
